STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-01 23:59,SOD,,,,,,,,,,,,,,,,,,,,29,22,26,1.1,,,,39,0,0958,1542,,0.12,2.5,35,,,,38,010,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-02 23:59,SOD,,,,,,,,,,,,,,,,,,,,30,22,26,1.2,,,,39,0,0958,1543,,0.29,6.9,34,,,,15,010,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-03 23:59,SOD,,,,,,,,,,,,,,,,,,,,34,20,27,2.3,,,,38,0,0957,1545,,0.38,7.7,38,,,,32,240,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-04 23:59,SOD,,,,,,,,,,,,,,,,,,,,27,15,21,-3.5,,,,44,0,0956,1547,,0.01,0.2,37,,,,18,260,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-05 23:59,SOD,,,,,,,,,,,,,,,,,,,,20,5,12,-12.4,,,,53,0,0955,1549,,0.00,0.0,36,,,,21,020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-06 23:59,SOD,,,,,,,,,,,,,,,,,,,,18,8,13,-11.3,,,,52,0,0954,1551,,0.06,1.5,34,,,,20,040,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-07 23:59,SOD,,,,,,,,,,,,,,,,,,,,17,5,11,-13.2,,,,54,0,0953,1553,,T,T,33,,,,17,010,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-08 23:59,SOD,,,,,,,,,,,,,,,,,,,,14,8,11,-13.0,,,,54,0,0951,1555,,T,T,33,,,,35,060,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-09 23:59,SOD,,,,,,,,,,,,,,,,,,,,19,8,14,-9.9,,,,51,0,0950,1557,,0.00,0.0,29,,,,47,060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:26442,VALDEZ WEATHER SERVICE OFFICE AK US,29,61.1303,-146.3517,2007-01-10 23:59,SOD,,,,,,,,,,,,,,,,,,,,14,3,8,-15.8,,,,57,0,0949,1559,,0.11,1.1,29,,,,31,010,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
